Unnamed: 0,OBJID,RA,DEC,NVOTE,P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED,SPIRAL,ELLIPTICAL,UNCERTAIN,dr8_id
8768,587727180597493864,00:05:04.48,-09:04:03.9,44,0.0,0.864,0.0,0.023,0.045,0.068,0.886,0.0,0.886,1,0,0,278715_979
8782,587727180597887054,00:08:51.20,-09:03:54.9,42,0.071,0.833,0.0,0.071,0.024,0.0,0.905,0.071,0.905,1,0,0,278718_1245
8931,587727180601229418,00:39:30.96,-09:02:22.8,28,0.0,0.964,0.036,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,278749_1607
9063,587727180603195480,00:57:48.33,-08:57:29.2,56,0.054,0.857,0.018,0.054,0.0,0.018,0.929,0.018,0.964,1,0,0,278767_3043
9112,587727227308081286,01:08:11.22,-09:07:12.9,36,0.056,0.833,0.0,0.028,0.028,0.056,0.861,0.053,0.863,1,0,0,278777_78
9138,587727180068093998,01:14:11.60,-09:06:07.2,24,0.083,0.875,0.0,0.042,0.0,0.0,0.917,0.083,0.917,1,0,0,278783_503
9213,587727231595053203,01:30:50.72,-08:52:31.1,37,0.0,0.946,0.0,0.027,0.027,0.0,0.973,0.0,0.973,1,0,0,278799_5413
9229,587727180070584389,01:37:03.55,-09:00:24.3,31,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,278805_3624
9328,587727231059886153,01:46:36.04,-08:59:44.2,33,0.03,0.848,0.03,0.0,0.0,0.091,0.879,0.03,0.879,1,0,0,278815_4011
9351,587727231060475965,01:51:36.40,-08:56:10.6,39,0.0,0.872,0.026,0.051,0.051,0.0,0.949,0.0,0.949,1,0,0,278820_6453
9406,587727179536203892,02:00:31.44,-09:02:05.5,29,0.034,0.931,0.034,0.0,0.0,0.0,0.966,0.034,0.966,1,0,0,278829_2331
9407,587727179536269325,02:00:48.62,-09:00:09.3,26,0.115,0.808,0.0,0.077,0.0,0.0,0.885,0.115,0.885,1,0,0,278829_2944
9425,587727179536597057,02:03:45.46,-08:52:49.1,39,0.051,0.846,0.026,0.077,0.0,0.0,0.949,0.051,0.949,1,0,0,278832_7424
9438,587727780547657804,02:07:10.44,-09:01:30.9,35,0.0,0.886,0.0,0.0,0.0,0.114,0.886,0.0,0.886,1,0,0,278835_2209
9482,587727179000971285,02:15:34.36,-09:05:37.1,49,0.041,0.939,0.0,0.0,0.02,0.0,0.939,0.041,0.939,1,0,0,278844_632
9485,587727179001102453,02:16:51.20,-08:57:50.5,32,0.0,0.969,0.031,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,278845_4198
9531,587724240687857745,02:29:32.32,-09:01:13.2,26,0.038,0.962,0.0,0.0,0.0,0.0,0.962,0.023,0.977,1,0,0,278857_3151
9556,587724240688251051,02:33:20.33,-08:54:50.4,27,0.111,0.889,0.0,0.0,0.0,0.0,0.889,0.111,0.889,1,0,0,278861_5296
9599,587724240152428592,02:42:59.64,-09:01:29.2,37,0.027,0.946,0.027,0.0,0.0,0.0,0.973,0.027,0.973,1,0,0,278871_2862
9613,587724240152690778,02:45:43.93,-09:00:44.5,35,0.029,0.857,0.029,0.0,0.0,0.086,0.886,0.011,0.902,1,0,0,278873_2730
9618,587724240152625288,02:45:10.85,-09:07:06.3,37,0.054,0.838,0.027,0.081,0.0,0.0,0.946,0.054,0.946,1,0,0,278873_91
9714,587727212275433753,21:46:40.04,-08:56:19.4,36,0.056,0.917,0.0,0.0,0.028,0.0,0.917,0.027,0.945,1,0,0,280002_3570
9743,587726877269688419,21:53:43.99,-09:02:36.6,33,0.0,0.939,0.0,0.0,0.0,0.061,0.939,0.0,0.939,1,0,0,280009_1591
9807,587726877808001287,22:06:51.29,-08:56:33.5,33,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,280022_3412
9895,587730816824312037,22:21:28.46,-08:58:29.7,55,0.109,0.855,0.0,0.036,0.0,0.0,0.891,0.109,0.891,1,0,0,280036_2501
9904,587730816824377522,22:22:25.50,-08:59:50.0,30,0.0,0.967,0.0,0.033,0.0,0.0,1.0,0.0,1.0,1,0,0,280037_2235
9920,587726878346707153,22:24:14.86,-08:57:49.6,56,0.089,0.857,0.0,0.054,0.0,0.0,0.911,0.089,0.911,1,0,0,280039_2974
